time,symbol,open,close,high,low,volume,category
2025-06-05,HRL,912.0,927.78,943.0,912.0,100124,stock
2025-06-08,HRL,930.0,913.37,935.0,910.0,131188,stock
2025-06-09,HRL,910.0,939.3,942.0,910.0,166379,stock
2025-06-10,HRL,944.0,937.62,953.9,935.0,125074,stock
2025-06-11,HRL,939.0,927.72,940.0,926.0,107782,stock
2025-06-12,HRL,927.7,917.6,933.0,915.0,196388,stock
2025-06-15,HRL,925.0,913.66,928.0,912.0,154620,stock
2025-06-16,HRL,913.5,905.47,922.0,901.0,131625,stock
2025-06-17,HRL,915.0,904.91,915.0,903.0,78164,stock
2025-06-18,HRL,900.1,899.53,910.0,897.0,116539,stock
2025-06-19,HRL,881.9,893.97,911.9,881.9,93582,stock
2025-06-22,HRL,894.0,888.75,902.0,886.0,94173,stock
2025-06-23,HRL,886.1,884.95,895.9,880.0,66621,stock
2025-06-24,HRL,894.0,884.87,901.0,883.0,65820,stock
2025-06-25,HRL,885.0,876.92,894.0,875.2,62395,stock
2025-06-26,HRL,878.0,875.64,883.5,875.0,52817,stock
2025-06-29,HRL,875.0,893.47,900.0,870.5,129876,stock
2025-06-30,HRL,894.9,891.57,900.0,890.0,47239,stock
2025-07-01,HRL,899.9,896.22,900.0,882.3,47203,stock
2025-07-02,HRL,896.0,905.25,910.0,890.0,75107,stock
2025-07-03,HRL,915.0,907.1,915.0,901.0,95369,stock
2025-07-06,HRL,925.0,946.58,954.0,918.0,362849,stock
2025-07-07,HRL,960.0,932.63,963.0,930.1,179282,stock
2025-07-08,HRL,930.0,923.78,935.0,917.0,99777,stock
2025-07-09,HRL,920.0,926.72,935.0,918.0,116498,stock
2025-07-10,HRL,920.0,931.68,940.5,920.0,133555,stock
2025-07-13,HRL,950.3,927.52,950.3,923.0,162656,stock
2025-07-14,HRL,919.0,914.75,933.0,912.0,105285,stock
2025-07-15,HRL,925.0,915.28,927.0,913.0,114099,stock
2025-07-16,HRL,915.0,922.78,935.0,915.0,169639,stock
2025-07-17,HRL,941.2,973.92,980.0,930.0,288141,stock
2025-07-20,HRL,993.3,996.0,1020.0,975.0,563638,stock
2025-07-21,HRL,996.0,1039.54,1046.1,990.0,736709,stock
2025-07-22,HRL,1040.1,1058.86,1061.2,1030.4,533910,stock
2025-07-23,HRL,1060.3,1080.69,1089.0,1042.1,729485,stock
2025-07-24,HRL,1065.0,1069.98,1100.0,1065.0,476695,stock
2025-07-27,HRL,1091.0,1047.89,1091.0,1044.0,656580,stock
2025-07-28,HRL,1068.8,1045.2,1068.8,1030.0,475291,stock
2025-07-29,HRL,1045.0,1059.18,1075.0,1045.0,497059,stock
2025-07-30,HRL,1063.0,1087.35,1111.0,1056.2,1211491,stock
2025-07-31,HRL,1109.0,1103.73,1139.9,1091.6,1195623,stock
2025-08-03,HRL,1103.8,1058.21,1105.0,1053.0,666334,stock
2025-08-04,HRL,1058.0,1046.01,1075.0,1028.1,533953,stock
2025-08-05,HRL,1055.0,1001.78,1055.0,1000.0,386032,stock
2025-08-06,HRL,982.0,1002.92,1023.0,982.0,278922,stock
2025-08-07,HRL,983.0,1014.43,1028.0,983.0,229247,stock
2025-08-11,HRL,1017.0,1000.54,1025.0,995.0,425130,stock
2025-08-12,HRL,990.0,1000.51,1020.0,990.0,238506,stock
2025-08-13,HRL,1020.5,996.51,1020.5,995.0,160318,stock
2025-08-14,HRL,995.0,1007.01,1014.7,995.0,225114,stock
2025-08-17,HRL,1015.0,1006.52,1024.0,1003.0,349385,stock
2025-08-18,HRL,1005.0,1002.09,1014.9,1000.0,139176,stock
2025-08-19,HRL,983.0,993.73,1017.0,983.0,170459,stock
2025-08-20,HRL,990.0,986.48,1001.0,983.5,219785,stock
2025-08-21,HRL,985.0,974.2,994.0,972.0,245689,stock
2025-08-24,HRL,970.9,964.61,989.8,963.0,240400,stock
2025-08-25,HRL,964.0,997.02,1003.0,958.0,236887,stock
2025-08-26,HRL,997.3,1010.98,1012.9,991.0,216172,stock
2025-08-27,HRL,1031.1,1055.08,1058.0,997.0,629062,stock
2025-08-28,HRL,1056.0,1032.21,1074.8,1030.0,578159,stock
2025-08-31,HRL,1034.0,1009.23,1035.0,1008.0,283986,stock
2025-09-01,HRL,1010.0,1012.82,1019.3,1001.0,175677,stock
2025-09-02,HRL,1033.0,999.52,1033.0,998.1,200017,stock
2025-09-03,HRL,1019.5,993.13,1019.5,990.1,250403,stock
2025-09-04,HRL,974.0,990.49,1004.9,974.0,178942,stock
2025-09-07,HRL,971.0,989.9,1004.0,971.0,130818,stock
2025-09-08,HRL,1000.0,975.49,1000.0,970.0,223843,stock
2025-09-18,HRL,965.0,878.0,965.0,878.0,19092,stock
2025-09-21,HRL,860.5,874.55,898.6,822.0,563832,stock
2025-09-23,HRL,875.0,890.0,902.0,860.7,177381,stock
2025-09-24,HRL,890.0,869.0,895.0,868.0,152233,stock
2025-09-25,HRL,886.3,855.0,886.3,855.0,132240,stock
2025-09-28,HRL,860.0,862.0,872.0,853.1,90595,stock
2025-10-07,HRL,863.0,821.1,863.0,821.0,151015,stock
2025-10-08,HRL,837.5,804.0,837.5,795.0,219914,stock
2025-10-09,HRL,820.0,806.5,850.0,805.5,255111,stock
2025-10-12,HRL,800.0,775.0,801.0,768.4,301357,stock
2025-10-13,HRL,775.0,812.0,827.9,762.1,235195,stock
2025-10-14,HRL,810.0,801.0,819.8,798.0,199839,stock
2025-10-15,HRL,803.0,797.0,812.0,795.0,168225,stock
2025-10-16,HRL,812.9,775.0,812.9,771.0,123658,stock
2025-10-19,HRL,790.5,778.9,792.9,771.1,115303,stock
2025-10-26,HRL,794.4,790.0,799.8,769.4,101459,stock
2025-10-28,HRL,799.6,806.0,815.0,788.0,208835,stock
2025-10-29,HRL,822.1,798.0,822.1,797.1,226763,stock
2025-10-30,HRL,783.0,808.0,813.0,783.0,148727,stock
